firstName,lastName,nationalCode,PhoneNumber,age,grade,academicStatus,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,timestamp
سارا,موسوی,6703262768,09888688994,12,نهم,متوسط,3,2,4,2,2,3,2,4,2,2,3,5,5,2,2,2025-04-20T21:29:17.735Z
مریم,قاسمی,7173499842,09432469044,12,هشتم,ضعیف,1,5,2,3,3,3,1,4,5,5,4,2,5,3,1,2025-04-20T21:29:17.735Z
حسین,حسینی,0416334217,09714150076,13,نهم,خیلی خوب,4,5,3,4,1,3,1,1,2,3,4,1,4,1,2,2025-04-20T21:29:17.735Z
زهرا,حسینی,3930602694,09901916170,14,نهم,خیلی خوب,2,5,1,2,2,1,4,1,4,5,2,2,4,2,1,2025-04-20T21:29:17.735Z
فاطمه,جعفری,9857293049,09111395419,13,هشتم,ضعیف,4,3,5,2,3,4,5,5,2,1,4,1,4,3,5,2025-04-20T21:29:17.735Z
محمد,قاسمی,3800477048,09757618887,15,نهم,متوسط,5,2,1,4,1,2,4,4,3,5,2,1,3,2,1,2025-04-20T21:29:17.735Z
مریم,قاسمی,6772127722,09620975215,15,هفتم,خوب,3,2,5,4,5,3,1,1,3,3,2,2,3,2,2,2025-04-20T21:29:17.735Z
علی,موسوی,4640398650,09228046070,14,هفتم,خیلی خوب,3,4,5,4,2,4,5,2,3,2,1,4,1,3,2,2025-04-20T21:29:17.736Z
علی,جعفری,2198092265,09968808103,12,نهم,متوسط,5,5,5,1,1,2,1,2,5,4,1,4,1,3,2,2025-04-20T21:29:17.736Z
زهرا,جعفری,5657156212,09801837065,12,هفتم,خیلی خوب,1,5,3,1,1,3,5,5,4,2,4,2,2,4,5,2025-04-20T21:29:17.736Z
فاطمه,جعفری,1117039395,09949434853,14,هفتم,ضعیف,1,4,1,4,4,4,5,4,3,4,3,5,1,4,1,2025-04-20T21:29:17.736Z
حسین,قاسمی,9584368280,09261104673,13,هشتم,خوب,5,2,4,1,1,1,1,3,3,3,4,1,3,5,3,2025-04-20T21:29:17.736Z
رضا,کریمی,3829128862,09431876540,12,هشتم,خوب,2,2,5,2,2,4,4,5,4,4,5,4,3,2,2,2025-04-20T21:29:17.736Z
سارا,جعفری,5424919514,09296096022,12,هشتم,متوسط,1,1,5,5,2,1,3,3,4,4,5,2,3,5,5,2025-04-20T21:29:17.736Z
علی,حسینی,1586773066,09425781441,13,هفتم,متوسط,3,2,1,4,3,1,2,1,4,4,5,4,1,1,4,2025-04-20T21:29:17.736Z
محمد,قاسمی,1180323931,09626036555,15,نهم,متوسط,4,5,3,2,3,2,4,3,3,3,5,3,3,4,5,2025-04-20T21:29:17.736Z
فاطمه,رضایی,0231850621,09025701408,15,نهم,خوب,3,2,5,4,4,4,5,1,2,5,3,1,4,5,3,2025-04-20T21:29:17.736Z
رضا,جعفری,9938916863,09699957095,13,هشتم,خوب,5,1,5,1,5,4,1,1,3,3,3,5,5,3,1,2025-04-20T21:29:17.736Z
علی,محمدی,9989402180,09953520182,15,هشتم,ضعیف,1,2,5,4,4,4,5,5,5,1,4,4,5,1,2,2025-04-20T21:29:17.736Z
سارا,رضایی,6473654282,09219312784,14,هشتم,خوب,3,2,2,4,1,4,2,5,3,3,1,4,4,4,1,2025-04-20T21:29:17.736Z
فاطمه,رضایی,8027208381,09935150750,12,نهم,خوب,5,4,3,5,5,2,2,3,2,5,1,3,5,5,2,2025-04-20T21:29:17.736Z
حسین,حسینی,4475990592,09492100748,15,هشتم,متوسط,5,3,1,2,3,4,3,1,1,2,5,4,2,2,5,2025-04-20T21:29:17.736Z
رضا,احمدی,4133123316,09224673793,12,هفتم,خیلی خوب,1,4,2,5,4,4,5,2,4,4,3,5,4,3,5,2025-04-20T21:29:17.736Z
